73,'Intel Core i5-11600K [BX8070811600K]','Intel','https://media.solotodo.com/media/products/1374667_picture_1619023067.jpg',214.53,204990,'https://solotodo.com/products/106857',6,12,3900,4900,125,'LGA 1200','Intel Rocket Lake','UHD 750','No posee',598,4320
74,'Intel Core i5-12600K [BX8071512600K]','Intel','https://media.solotodo.com/media/products/1495167_picture_1637010032.jpg',241.8,231053,'https://solotodo.com/products/125306',6,16,3700,4900,125,'LGA 1700','Intel Alder Lake','UHD 770','No posee',741,6702
75,'AMD Ryzen 5 7600 [100-100001015BOX]','AMD','https://media.solotodo.com/media/products/1696740_picture_1673410406.jpg',239.66,229000,'https://solotodo.com/products/166287',6,12,3800,5100,65,'AM5','AMD Zen 4','RDNA 2','Wraith Stealth',722,5850
76,'Intel Core i5-10600K [BX8070110600K]','Intel','https://media.solotodo.com/media/products/1200190_picture_1595049054.jpg',249.06,237990,'https://solotodo.com/products/83670',6,12,4100,4800,125,'LGA 1200','Intel Comet Lake','UHD 630','No posee',501,3629
77,'AMD Ryzen 7 5800XT [100-000001582WOF]','AMD','https://media.solotodo.com/media/products/1263671_picture_1672268365.jpg',250.11,238990,'https://solotodo.com/products/252295',8,16,3800,4800,105,'AM4','AMD Zen 3','No posee','No posee',0,0
78,'Intel Core i5-11600KF [BX8070811600KF]','Intel','https://media.solotodo.com/media/products/1359031_picture_1617309776.jpg',271.14,259081,'https://solotodo.com/products/104277',6,12,3900,4900,95,'LGA 1200','Intel Rocket Lake','No posee','No posee',598,4320
79,'AMD Ryzen 7 5800X [100-100000063WOF]','AMD','https://media.solotodo.com/media/products/1263671_picture_1672268365.jpg',257.44,245990,'https://solotodo.com/products/90849',8,16,3800,4700,105,'AM4','AMD Zen 3','No posee','No posee',628,5724
80,'Intel Core i5-7400 [BX80677I57400]','Intel','https://media.solotodo.com/media/products/566211_picture_1484061135.jpg',258.92,247412,'https://solotodo.com/products/31099',4,4,3000,3500,65,'LGA 1151 (6ta / 7ma gen)','Intel Kaby Lake','HD 630','Cooler stock Intel',0,0
81,'AMD Ryzen 5 7600X [100-100000593WOF]','AMD','https://media.solotodo.com/media/products/1647078_picture_1672267310.jpg',256.39,244990,'https://solotodo.com/products/151869',6,12,4700,5300,105,'AM5','AMD Zen 4','RDNA 2','No posee',759,5989
82,'Intel Core i5-12500 [BX8071512500]','Intel','https://media.solotodo.com/media/products/1514024_picture_1640156807.jpg',274.28000000000003,262081,'https://solotodo.com/products/140383',6,12,3000,4600,65,'LGA 1700','Intel Alder Lake','UHD 730','Cooler stock Intel',688,0
83,'AMD Ryzen 5 9600X [100-100001405WOF]','AMD','https://media.solotodo.com/media/products/1941894_picture_1722940748.webp',295.26,282130,'https://solotodo.com/products/252401',6,12,3900,5400,65,'AM5','AMD Zen 5','Radeon Graphics','No posee',853,6675
